"","FY18","FY17"
"Sept",22248.71,19981.47
"Oct",16485.8,16705.81
"Nov",17815.95,14795.83
"Dec",12926.46,15205.83
"Jan",10907.56,13120.04
"Feb",14266.37,11416.08
"Mar",16416.46,10887.86
"Apr",27725.2,17335.85
"May",28518.1,28553.65
"Jun",17927.81,17267.72
"Juls",9950.9,4397.29
"Aug",0,19922.5
